File_name;Id;Activity;Place;Year;Month;Day;Hour;Minute;Date;Time;Night_Date
;PippiM;Chasse;PE1;2019;3;18;21;0;2019-03-18;21:00:00;2019-03-18
;Nycsp;Chasse;PE1;2019;3;18;21;5;2019-03-18;21:05:00;2019-03-18
;PippiM;Transit;PE1;2019;3;18;21;6;2019-03-18;21:06:00;2019-03-18
;Barbar;Transit;PE1;2019;3;18;21;10;2019-03-18;21:10:00;2019-03-18
;Pip35;Transit;PE1;2019;3;18;21;18;2019-03-18;21:18:00;2019-03-18
;Nyclei;Social;PE2;2019;3;18;21;26;2019-03-18;21:26:00;2019-03-18
;PippiM;Chasse;PE2;2019;3;18;21;26;2019-03-18;21:26:00;2019-03-18
;PippiM;Chasse;PE2;2019;3;18;21;30;2019-03-18;21:30:00;2019-03-18
;PippiM;Transit;PE2;2019;3;18;21;31;2019-03-18;21:31:00;2019-03-18
;PippiM;Transit;PE2;2019;3;18;21;31;2019-03-18;21:31:00;2019-03-18
;Rhihip;Transit;PE2;2019;3;18;21;31;2019-03-18;21:31:00;2019-03-18
;PippiM;Social;PE2;2019;3;18;21;34;2019-03-18;21:34:00;2019-03-18
;PippiM;Chasse;PE2;2019;3;18;21;35;2019-03-18;21:35:00;2019-03-18
;PippiM;Chasse;PE2;2019;3;18;21;38;2019-03-18;21:38:00;2019-03-18
;PippiM;Transit;PE2;2019;3;18;21;38;2019-03-18;21:38:00;2019-03-18
;PippiM;Transit;PE2;2019;3;18;21;40;2019-03-18;21:40:00;2019-03-18
;PippiM;Chasse;PE2;2019;3;18;21;40;2019-03-18;21:40:00;2019-03-18
;PippiM;Chasse;PE2;2019;3;18;21;42;2019-03-18;21:42:00;2019-03-18
;Myodau;Transit;PE2;2019;3;18;21;42;2019-03-18;21:42:00;2019-03-18
;Myosp;Transit;PE2;2019;3;18;21;42;2019-03-18;21:42:00;2019-03-18
;PippiM;Transit;PE2;2019;3;18;21;44;2019-03-18;21:44:00;2019-03-18
;PippiM;Social;PE2;2019;3;18;21;46;2019-03-18;21:46:00;2019-03-18
;PippiM;Chasse;PE3;2019;3;18;21;50;2019-03-18;21:50:00;2019-03-18
;PippiM;Chasse;PE3;2019;3;18;21;51;2019-03-18;21:51:00;2019-03-18
;PippiM;Transit;PE3;2019;3;18;21;51;2019-03-18;21:51:00;2019-03-18
;PippiM;Transit;PE3;2019;3;18;21;51;2019-03-18;21:51:00;2019-03-18
;PippiM;Transit;PE3;2019;3;18;21;56;2019-03-18;21:56:00;2019-03-18
;Pipnat;Social;PE3;2019;3;18;21;57;2019-03-18;21:57:00;2019-03-18
;Pipnat;Chasse;PE3;2019;3;18;21;57;2019-03-18;21:57:00;2019-03-18
;PippiM;Chasse;PE3;2019;3;18;22;1;2019-03-18;22:01:00;2019-03-18
;PippiM;Transit;PE3;2019;3;18;22;3;2019-03-18;22:03:00;2019-03-18
;PippiM;Transit;PE3;2019;3;18;22;4;2019-03-18;22:04:00;2019-03-18
;Pipkuh;Chasse;PE3;2019;3;18;22;9;2019-03-18;22:09:00;2019-03-18
;PippiM;Chasse;PE3;2019;3;18;22;10;2019-03-18;22:10:00;2019-03-18
;Pipkuh;Transit;PE4;2019;3;18;22;12;2019-03-18;22:12:00;2019-03-18
;PippiM;Transit;PE4;2019;3;18;22;12;2019-03-18;22:12:00;2019-03-18
;Pipkuh;Transit;PE4;2019;3;18;22;13;2019-03-18;22:13:00;2019-03-18
;PippiM;Transit;PE4;2019;3;18;22;14;2019-03-18;22:14:00;2019-03-18
;Pipkuh;Transit;PE4;2019;3;18;22;17;2019-03-18;22:17:00;2019-03-18
;PippiM;Transit;PE4;2019;3;18;22;18;2019-03-18;22:18:00;2019-03-18
;Pipkuh;Transit;PE4;2019;3;18;22;20;2019-03-18;22:20:00;2019-03-18
;PippiM;Transit;PE4;2019;3;18;22;21;2019-03-18;22:21:00;2019-03-18
;Pipkuh;Transit;PE4;2019;3;18;22;22;2019-03-18;22:22:00;2019-03-18
;PippiM;Transit;PE4;2019;3;18;22;28;2019-03-18;22:28:00;2019-03-18
;PippiM;Chasse;PE5;2019;3;18;23;51;2019-03-18;23:51:00;2019-03-18
;Minsch;Chasse;PE5;2019;3;18;23;55;2019-03-18;23:55:00;2019-03-18
;Minsch;Transit;PE5;2019;3;18;23;56;2019-03-18;23:56:00;2019-03-18
;PippiM;Transit;PE5;2019;3;18;23;59;2019-03-18;23:59:00;2019-03-18
;PippiM;Transit;PE5;2019;3;19;0;4;2019-03-19;00:04:00;2019-03-18
;Pipnat;Transit;PE5;2019;3;19;0;5;2019-03-19;00:05:00;2019-03-18
;Pipnat;Transit;PE5;2019;3;19;0;5;2019-03-19;00:05:00;2019-03-18
;PippiM;Social;PE5;2019;3;19;0;9;2019-03-19;00:09:00;2019-03-18
