Site;File;Id;Contact;Group;IGp;Species;ISp;Year;Month;Day;Hour;Minute;Date;Time;Night_Date
BST-1;BST-1_20180610_223019_295.wav;Pipnat/Pippip;Main;PipMi;5;PippiT;5;2018;6;10;22;30;2018-06-10;22:30;2018-06-10
BST-1;BST-1_20180611_015219_944.wav;Pipkuh/Pipnat;Main;Pip35;5;Pipkuh;5;2018;6;11;1;52;2018-06-11;01:52;2018-06-10
BST-1;BST-1_20180611_041451_474.wav;ChiroSp;Main;MyoLF;5;Myomyo;5;2018;6;11;4;14;2018-06-11;04:14;2018-06-10
BST-1;BST-1_20180612_020521_948.wav;Pipnat/Pippip;Main;PipMi;5;PippiT;5;2018;6;12;2;5;2018-06-12;02:05;2018-06-11
BST-1;BST-1_20180612_224508_094.wav;Pipkuh/Pipnat;Main;Pip35;5;Pipkuh;5;2018;6;12;22;45;2018-06-12;22:45;2018-06-12
BST-1;BST-1_20180612_224513_094.wav;Pipkuh/Pipnat;Main;Pip35;5;Pipkuh;5;2018;6;12;22;45;2018-06-12;22:45;2018-06-12
BST-1;BST-1_20180611_032051_499.wav;ChiroSp;Main;MyoLF;5;Myomyo;4;2018;6;11;3;20;2018-06-11;03:20;2018-06-10
BST-1;BST-1_20180611_222615_173.wav;Pipkuh/Pipnat;Main;Pip35;5;Pipkuh;4;2018;6;11;22;26;2018-06-11;22:26;2018-06-11
BST-1;BST-1_20180610_223930_677.wav;ChiroSp;Main;MyoLF;4;Myomyo;4;2018;6;10;22;39;2018-06-10;22:39;2018-06-10
BST-1;BST-1_20180610_230054_669.wav;Pipkuh/Pipnat;Main;Pip35;4;Pipkuh;4;2018;6;10;23;0;2018-06-10;23:00;2018-06-10
BST-1;BST-1_20180610_233629_000.wav;Pipkuh/Pipnat;Main;Pip35;4;Pipkuh;4;2018;6;10;23;36;2018-06-10;23:36;2018-06-10
BST-1;BST-1_20180611_013631_067.wav;Pipnat/Pippip;Main;Pip35;4;Pipnat;4;2018;6;11;1;36;2018-06-11;01:36;2018-06-10
BST-1;BST-1_20180611_015705_136.wav;ChiroSp;Main;MyoLF;4;Myomyo;4;2018;6;11;1;57;2018-06-11;01:57;2018-06-10
