"nom du fichier";"temps_debut";"temps_fin";"frequence_mediane";"tadarida_taxon";"tadarida_probabilite";"tadarida_taxon_autre";"observateur_taxon";"observateur_probabilite";"validateur_taxon";"validateur_probabilite"
"Car791055-2025-Pass1-Z8-VDN-5_20250708_212546_000";"0.0";5.0;120.0;"noise";0.98;"";"";"";"";""
"Car791055-2025-Pass1-Z8-VDN-5_20250708_212551_000";"0.0";0.2;61.0;"noise";0.95;"";"";"";"";""
"Car791055-2025-Pass1-Z8-VDN-5_20250708_212551_000";"0.0";0.1;52.0;"Yposp";0.03;"Phogri, Tetvir, Pippip";"";"";"";""
"Car791055-2025-Pass1-Z8-VDN-5_20250708_213117_000";"0.0";5.0;106.0;"noise";0.97;"";"";"";"";""
"Car791055-2025-Pass1-Z8-VDN-5_20250708_213122_000";"0.0";5.0;115.0;"noise";0.96;"";"";"";"";""
"Car791055-2025-Pass1-Z8-VDN-5_20250708_213127_000";"0.0";0.7;83.0;"noise";0.97;"";"";"";"";""
"Car791055-2025-Pass1-Z8-VDN-5_20250708_213131_000";0.2;2.1;139.0;"noise";0.99;"";"";"";"";""
"Car791055-2025-Pass1-Z8-VDN-5_20250708_213220_000";"0.0";5.0;169.0;"noise";0.97;"";"";"";"";""
"Car791055-2025-Pass1-Z8-VDN-5_20250708_213225_000";"0.0";5.0;159.0;"noise";0.97;"";"";"";"";""
"Car791055-2025-Pass1-Z8-VDN-5_20250708_213230_000";"0.0";5.0;172.0;"noise";0.98;"";"";"";"";""
"Car791055-2025-Pass1-Z8-VDN-5_20250708_213235_000";"0.0";4.0;110.0;"noise";0.88;"";"";"";"";""
"Car791055-2025-Pass1-Z8-VDN-5_20250708_213253_000";"0.0";5.0;169.0;"noise";0.98;"";"";"";"";""
"Car791055-2025-Pass1-Z8-VDN-5_20250708_213258_000";"0.0";5.0;159.0;"noise";0.98;"";"";"";"";""
"Car791055-2025-Pass1-Z8-VDN-5_20250708_213303_000";"0.0";5.0;161.0;"noise";0.97;"";"";"";"";""
"Car791055-2025-Pass1-Z8-VDN-5_20250708_213308_000";"0.0";5.0;170.0;"noise";0.97;"";"";"";"";""
