Date_Time;Speed;Temperature
01/09/2017 00:00;1.28;13.6
01/09/2017 00:10;1.53;13.7
01/09/2017 00:20;1.71;13.7
01/09/2017 00:30;1.78;13.7
01/09/2017 00:40;1.81;13.8
01/09/2017 00:50;1.44;13.7
01/09/2017 01:00;1.51;13.5
01/09/2017 01:10;1.55;13.4
01/09/2017 01:20;1.59;13.5
01/09/2017 01:30;1.48;13.4
01/09/2017 01:40;1.61;13.4
01/09/2017 01:50;1.79;13.3
01/09/2017 02:00;1.97;13.5
01/09/2017 02:10;1.98;13.6
01/09/2017 02:20;1.99;13.5
01/09/2017 02:30;1.95;13.5
01/09/2017 02:40;1.74;13.5
01/09/2017 02:50;1.56;13.6
01/09/2017 03:00;1.56;13.8
01/09/2017 03:10;1.85;13.5
01/09/2017 03:20;1.91;13.4
01/09/2017 03:30;1.74;13.4
01/09/2017 03:40;1.78;13.6
01/09/2017 03:50;1.64;13.6
01/09/2017 04:00;1.81;13.4
01/09/2017 04:10;2.03;13.3
01/09/2017 04:20;2.24;13.3
01/09/2017 04:30;2.34;13.2
01/09/2017 04:40;2.3;13.1
01/09/2017 04:50;2.54;13
01/09/2017 05:00;2.13;13
01/09/2017 05:10;2.03;13.2
01/09/2017 05:20;2.13;13.6
01/09/2017 05:30;2.4;13.7
01/09/2017 05:40;3.99;13.6
01/09/2017 05:50;5.3;13.2
01/09/2017 06:00;7.16;13.2
01/09/2017 06:10;6.9;13.5
01/09/2017 06:20;6.97;13.7
01/09/2017 06:30;6.52;13.7
01/09/2017 06:40;6.31;13.8
01/09/2017 06:50;5.18;13.9
01/09/2017 07:00;3.47;13.7
01/09/2017 07:10;1.99;13.7
01/09/2017 07:20;1.89;14
01/09/2017 07:30;0.46;14.5
01/09/2017 07:40;0.75;15
01/09/2017 07:50;1.09;15.4
01/09/2017 08:00;1.02;15.3
01/09/2017 08:10;1.3;15.2
01/09/2017 08:20;1.71;14.7
01/09/2017 08:30;1.78;14.5
01/09/2017 08:40;2.36;14.7
01/09/2017 08:50;2.73;14.9
01/09/2017 09:00;1.67;15.2
01/09/2017 09:10;1.39;15.2
01/09/2017 09:20;1.83;15
01/09/2017 09:30;2.53;14.7
01/09/2017 09:40;2.34;14.6
01/09/2017 09:50;3.07;14.3
01/09/2017 10:00;2.87;14.3
01/09/2017 10:10;2.21;14.7
01/09/2017 10:20;2.56;15.2
01/09/2017 10:30;3.3;15.7
01/09/2017 10:40;2.3;15.9
01/09/2017 10:50;2.2;15.9
01/09/2017 11:00;2.3;16.1
01/09/2017 11:10;2.4;16.3
01/09/2017 11:20;3.1;16.6
01/09/2017 11:30;3.4;16.9
01/09/2017 11:40;3.89;17
01/09/2017 11:50;4.89;16.7
01/09/2017 12:00;4.44;16.4
01/09/2017 12:10;3.93;16.4
01/09/2017 12:20;2.34;16.1
01/09/2017 12:30;2.9;16
01/09/2017 12:40;5.44;15.5
01/09/2017 12:50;4.64;14.6
01/09/2017 13:00;3.47;14.3
01/09/2017 13:10;2.92;14.4
01/09/2017 13:20;2.13;14.8
01/09/2017 13:30;3.33;15
01/09/2017 13:40;4.67;14.6
01/09/2017 13:50;3.57;14.8
01/09/2017 14:00;2.44;15.1
01/09/2017 14:10;1.46;15.5
01/09/2017 14:20;1.13;15.9
01/09/2017 14:30;1.05;15.9
01/09/2017 14:40;2.37;16.1
01/09/2017 14:50;1.42;16.6
01/09/2017 15:00;2.32;16.6
01/09/2017 15:10;1.66;16.4
01/09/2017 15:20;1.28;16.3
