"File";"Place";"Id";"Night_Date";"Date_Time";"Date";"Year";"Month";"Week";"Day";"Time";"Hour";"Minute"
"BST-Bourg_20180601_214548_081";"BST-Bourg";"Nycnoc";"2018-06-01";"2018-06-01 21:45";"2018-06-01";"2018";"06";"22";"01";"21:45";"21";"45"
"BST-Bourg_20180601_221005_110";"BST-Bourg";"PippiT";"2018-06-01";"2018-06-01 22:10";"2018-06-01";"2018";"06";"22";"01";"22:10";"22";"10"
"BST-Bourg_20180601_221007_120";"BST-Bourg";"Pipkuh/Pipnat";"2018-06-01";"2018-06-01 22:10";"2018-06-01";"2018";"06";"22";"01";"22:10";"22";"10"
"BST-Bourg_20180601_221610_109";"BST-Bourg";"Pipnat/Pippip";"2018-06-01";"2018-06-01 22:16";"2018-06-01";"2018";"06";"22";"01";"22:16";"22";"16"
"BST-Bourg_20180601_221724_124";"BST-Bourg";"Nycnoc/Nyclei";"2018-06-01";"2018-06-01 22:17";"2018-06-01";"2018";"06";"22";"01";"22:17";"22";"17"
"BST-Bourg_20180601_221804_093";"BST-Bourg";"Nycnoc/Nyclei";"2018-06-01";"2018-06-01 22:18";"2018-06-01";"2018";"06";"22";"01";"22:18";"22";"18"
"BST-Bourg_20180601_222037_094";"BST-Bourg";"PippiT";"2018-06-01";"2018-06-01 22:20";"2018-06-01";"2018";"06";"22";"01";"22:20";"22";"20"
"BST-Bourg_20180601_222323_091";"BST-Bourg";"PippiT";"2018-06-01";"2018-06-01 22:23";"2018-06-01";"2018";"06";"22";"01";"22:23";"22";"23"
"BST-Bourg_20180601_222351_102";"BST-Bourg";"Pipkuh/Pipnat";"2018-06-01";"2018-06-01 22:23";"2018-06-01";"2018";"06";"22";"01";"22:23";"22";"23"
"BST-Bourg_20180601_222536_086";"BST-Bourg";"PippiT";"2018-06-01";"2018-06-01 22:25";"2018-06-01";"2018";"06";"22";"01";"22:25";"22";"25"
"BST-Bourg_20180601_222743_113";"BST-Bourg";"PippiT";"2018-06-01";"2018-06-01 22:27";"2018-06-01";"2018";"06";"22";"01";"22:27";"22";"27"
"BST-Bourg_20180601_222815_088";"BST-Bourg";"Pipnat/Pippip";"2018-06-01";"2018-06-01 22:28";"2018-06-01";"2018";"06";"22";"01";"22:28";"22";"28"
"BST-Bourg_20180601_222841_125";"BST-Bourg";"Pipkuh/Pipnat";"2018-06-01";"2018-06-01 22:28";"2018-06-01";"2018";"06";"22";"01";"22:28";"22";"28"
"BST-Bourg_20180601_223507_095";"BST-Bourg";"Pleaus";"2018-06-01";"2018-06-01 22:35";"2018-06-01";"2018";"06";"22";"01";"22:35";"22";"35"
"BST-Bourg_20180601_224416_106";"BST-Bourg";"Pipkuh/Pipnat";"2018-06-01";"2018-06-01 22:44";"2018-06-01";"2018";"06";"22";"01";"22:44";"22";"44"
"BST-Bourg_20180601_224522_083";"BST-Bourg";"PippiT";"2018-06-01";"2018-06-01 22:45";"2018-06-01";"2018";"06";"22";"01";"22:45";"22";"45"
"BST-Bourg_20180601_225341_087";"BST-Bourg";"PippiT";"2018-06-01";"2018-06-01 22:53";"2018-06-01";"2018";"06";"22";"01";"22:53";"22";"53"
"BST-Bourg_20180601_225341_098";"BST-Bourg";"PippiT";"2018-06-01";"2018-06-01 22:53";"2018-06-01";"2018";"06";"22";"01";"22:53";"22";"53"
"BST-Bourg_20180601_225352_112";"BST-Bourg";"Pipkuh/Pipnat";"2018-06-01";"2018-06-01 22:53";"2018-06-01";"2018";"06";"22";"01";"22:53";"22";"53"
"BST-Bourg_20180601_230633_101";"BST-Bourg";"Srotules";"2018-06-01";"2018-06-01 23:06";"2018-06-01";"2018";"06";"22";"01";"23:06";"23";"06"
"BST-Bourg_20180601_231042_119";"BST-Bourg";"Nycnoc/Nyclei";"2018-06-01";"2018-06-01 23:10";"2018-06-01";"2018";"06";"22";"01";"23:10";"23";"10"
"BST-Bourg_20180601_231319_084";"BST-Bourg";"PippiT";"2018-06-01";"2018-06-01 23:13";"2018-06-01";"2018";"06";"22";"01";"23:13";"23";"13"
"BST-Bourg_20180601_231949_111";"BST-Bourg";"PippiT";"2018-06-01";"2018-06-01 23:19";"2018-06-01";"2018";"06";"22";"01";"23:19";"23";"19"
"BST-Bourg_20180601_233902_100";"BST-Bourg";"PippiT";"2018-06-01";"2018-06-01 23:39";"2018-06-01";"2018";"06";"22";"01";"23:39";"23";"39"
"BST-Bourg_20180601_234315_107";"BST-Bourg";"PippiT";"2018-06-01";"2018-06-01 23:43";"2018-06-01";"2018";"06";"22";"01";"23:43";"23";"43"
"BST-Bourg_20180601_234404_096";"BST-Bourg";"ChiroSp";"2018-06-01";"2018-06-01 23:44";"2018-06-01";"2018";"06";"22";"01";"23:44";"23";"44"
"BST-Bourg_20180601_234850_097";"BST-Bourg";"Pipkuh/Pipnat";"2018-06-01";"2018-06-01 23:48";"2018-06-01";"2018";"06";"22";"01";"23:48";"23";"48"
"BST-Bourg_20180602_003734_117";"BST-Bourg";"Pipnat";"2018-06-01";"2018-06-02 00:37";"2018-06-02";"2018";"06";"22";"02";"00:37";"00";"37"
"BST-Bourg_20180602_011054_104";"BST-Bourg";"PippiT";"2018-06-01";"2018-06-02 01:10";"2018-06-02";"2018";"06";"22";"02";"01:10";"01";"10"
"BST-Bourg_20180602_011757_121";"BST-Bourg";"Pipkuh/Pipnat";"2018-06-01";"2018-06-02 01:17";"2018-06-02";"2018";"06";"22";"02";"01:17";"01";"17"
"BST-Bourg_20180602_012024_122";"BST-Bourg";"ChiroSp";"2018-06-01";"2018-06-02 01:20";"2018-06-02";"2018";"06";"22";"02";"01:20";"01";"20"
"BST-Bourg_20180602_013319_090";"BST-Bourg";"Myomyo/Myobly";"2018-06-01";"2018-06-02 01:33";"2018-06-02";"2018";"06";"22";"02";"01:33";"01";"33"
"BST-Bourg_20180602_013943_114";"BST-Bourg";"ChiroSp";"2018-06-01";"2018-06-02 01:39";"2018-06-02";"2018";"06";"22";"02";"01:39";"01";"39"
"BST-Bourg_20180602_020300_085";"BST-Bourg";"PippiT";"2018-06-01";"2018-06-02 02:03";"2018-06-02";"2018";"06";"22";"02";"02:03";"02";"03"
"BST-Bourg_20180602_020804_092";"BST-Bourg";"Pipkuh/Pipnat";"2018-06-01";"2018-06-02 02:08";"2018-06-02";"2018";"06";"22";"02";"02:08";"02";"08"
"BST-Bourg_20180602_022552_099";"BST-Bourg";"PippiT";"2018-06-01";"2018-06-02 02:25";"2018-06-02";"2018";"06";"22";"02";"02:25";"02";"25"
"BST-Bourg_20180602_023737_105";"BST-Bourg";"PippiT";"2018-06-01";"2018-06-02 02:37";"2018-06-02";"2018";"06";"22";"02";"02:37";"02";"37"
"BST-Bourg_20180602_023756_108";"BST-Bourg";"Pipkuh/Pipnat";"2018-06-01";"2018-06-02 02:37";"2018-06-02";"2018";"06";"22";"02";"02:37";"02";"37"
"BST-Bourg_20180602_031124_115";"BST-Bourg";"PippiT";"2018-06-01";"2018-06-02 03:11";"2018-06-02";"2018";"06";"22";"02";"03:11";"03";"11"
"BST-Bourg_20180602_031623_116";"BST-Bourg";"PippiT";"2018-06-01";"2018-06-02 03:16";"2018-06-02";"2018";"06";"22";"02";"03:16";"03";"16"
"BST-Bourg_20180602_033247_103";"BST-Bourg";"PippiT";"2018-06-01";"2018-06-02 03:32";"2018-06-02";"2018";"06";"22";"02";"03:32";"03";"32"
"BST-Bourg_20180602_033812_089";"BST-Bourg";"ChiroSp";"2018-06-01";"2018-06-02 03:38";"2018-06-02";"2018";"06";"22";"02";"03:38";"03";"38"
"BST-Bourg_20180602_044536_123";"BST-Bourg";"Pipnat";"2018-06-01";"2018-06-02 04:45";"2018-06-02";"2018";"06";"22";"02";"04:45";"04";"45"
"BST-Bourg_20180602_050211_118";"BST-Bourg";"Pipkuh/Pipnat";"2018-06-01";"2018-06-02 05:02";"2018-06-02";"2018";"06";"22";"02";"05:02";"05";"02"
"BST-Bourg_20180602_054027_082";"BST-Bourg";"Hypsav";"2018-06-01";"2018-06-02 05:40";"2018-06-02";"2018";"06";"22";"02";"05:40";"05";"40"
"BST-Etang_20180601_214008_067";"BST-Etang";"Pipkuh/Pipnat";"2018-06-01";"2018-06-01 21:40";"2018-06-01";"2018";"06";"22";"01";"21:40";"21";"40"
"BST-Etang_20180601_214643_078";"BST-Etang";"Nycnoc";"2018-06-01";"2018-06-01 21:46";"2018-06-01";"2018";"06";"22";"01";"21:46";"21";"46"
"BST-Etang_20180601_220033_063";"BST-Etang";"Pipkuh/Pipnat";"2018-06-01";"2018-06-01 22:00";"2018-06-01";"2018";"06";"22";"01";"22:00";"22";"00"
"BST-Etang_20180601_221042_055";"BST-Etang";"Nyclei/Vesmur";"2018-06-01";"2018-06-01 22:10";"2018-06-01";"2018";"06";"22";"01";"22:10";"22";"10"
"BST-Etang_20180601_221834_065";"BST-Etang";"PippiT";"2018-06-01";"2018-06-01 22:18";"2018-06-01";"2018";"06";"22";"01";"22:18";"22";"18"
"BST-Etang_20180601_221915_072";"BST-Etang";"Nyclei";"2018-06-01";"2018-06-01 22:19";"2018-06-01";"2018";"06";"22";"01";"22:19";"22";"19"
"BST-Etang_20180601_222012_054";"BST-Etang";"Nycnoc/Nyclei";"2018-06-01";"2018-06-01 22:20";"2018-06-01";"2018";"06";"22";"01";"22:20";"22";"20"
"BST-Etang_20180601_222014_069";"BST-Etang";"Nycnoc/Nyclei";"2018-06-01";"2018-06-01 22:20";"2018-06-01";"2018";"06";"22";"01";"22:20";"22";"20"
"BST-Etang_20180601_222043_079";"BST-Etang";"PippiT";"2018-06-01";"2018-06-01 22:20";"2018-06-01";"2018";"06";"22";"01";"22:20";"22";"20"
"BST-Etang_20180601_223153_060";"BST-Etang";"Pipkuh/Pipnat";"2018-06-01";"2018-06-01 22:31";"2018-06-01";"2018";"06";"22";"01";"22:31";"22";"31"
"BST-Etang_20180601_223530_059";"BST-Etang";"Nyclei/Vesmur";"2018-06-01";"2018-06-01 22:35";"2018-06-01";"2018";"06";"22";"01";"22:35";"22";"35"
